fecha,hora,expo,lugar
12/10/2020,19:56:51,60,tst
12/10/2020,20:02:41,23,tst
12/10/2020,20:07:57,13,tst
12/10/2020,20:09:32,8,tst
12/10/2020,20:10:51,60,tst
12/10/2020,20:13:15,60,tst
12/10/2020,20:24:02,300,tst
12/10/2020,20:43:41,300,tst
18/10/2020,16:55:34,10,tst
18/10/2020,16:58:07,303,tst
18/10/2020,17:12:37,602,tst
21/11/2020,16:57:09,60,NA
21/11/2020,17:01:30,60,
21/11/2020,17:18:19,60,UVSA-000007
21/11/2020,17:43:37,60,UVSA-000005
21/11/2020,17:47:30,60,NA
21/11/2020,17:49:52,60,UVSA-00000C
21/11/2020,17:57:40,60,UVSA-00000B
21/11/2020,18:34:07,60,NA
21/11/2020,19:29:59,60,NA
21/11/2020,19:37:38,60,NA
21/11/2020,19:40:49,60,NA
21/11/2020,19:43:09,60,UVSA-000006
21/11/2020,19:45:53,22,UVSA-000005
21/11/2020,19:52:39,60,NA
21/11/2020,20:15:35,60,UVSA-000009
21/11/2020,20:59:44,60,NA
22/11/2020,14:30:13,60,UVSA-000003
22/11/2020,14:33:04,60,UVSA-000001
22/11/2020,14:42:56,300,UVSA-000004
22/11/2020,14:50:23,300,NA
22/11/2020,15:00:11,60,UVSA-000009
